"","year","Model","Model2","Model3","Model4","Price","Milage","Autom","rul","gas","color","Other","View","Date","ID","Fullname","volume","condition","privod","url"
"345","1998","BMW","523","</span>","","3500","170000","Automatic","Left","Gasoline","Gray","ABS","Hatchback","10.03.2020","autoam 283","BMW 523 </span>",NA,NA,NA,NA
"355","1998","Mercedes-Benz","C","180","180","3500","300000","Automatic","Left","Gas","Red","ABS","Sedan","29.04.2021","autoam 284","Mercedes-Benz C 180",NA,NA,NA,NA
"365","1997","Mercedes-Benz","C","180","180 C180","3500","230000","Manual","Left","Gas","Silver","<span style=""background-color:#c7c7c7""></span>Gray","Sedan","22.01.2021","autoam 285","Mercedes-Benz C 180",NA,NA,NA,NA
"375","1995","Mercedes-Benz","C","280","280 2.8","3500","170000","Manual","Left","Gasoline","Օther color","","Sedan","20.09.2020","autoam 286","Mercedes-Benz C 280",NA,NA,NA,NA
"385","1996","Mercedes-Benz","C","180","180 Mersedes benz c180","3400","5846","Manual","Left","Gas","Silver","1.8","Sedan","27.05.2021","autoam 287","Mercedes-Benz C 180",NA,NA,NA,NA
"395","1997","Mercedes-Benz","C","180","180","3500","200","Manual","Left","Gas","Silver","","Sedan","22.02.2022","autoam 288","Mercedes-Benz C 180",NA,NA,NA,NA
"405","1997","Mercedes-Benz","E","200","200","3500","380000","Manual","Left","Gas","Silver","2.0","Sedan","18.02.2022","autoam 289","Mercedes-Benz E 200",NA,NA,NA,NA
"419","1996","Volkswagen","Vento","</span>","","3500","190000","Manual","Left","Gas","Aubergine","<span style=""background-color:#000000""></span>Black","Sedan","06.11.2021","autoam 290","Volkswagen Vento </span>",NA,NA,NA,NA
"425","1998","Mercedes-Benz","C","220","220","3500","310","Manual","Left","Gasoline","Red","","Sedan","07.11.2021","autoam 291","Mercedes-Benz C 220",NA,NA,NA,NA
"435","1995","Mercedes-Benz","C","180","180 1.8","3500","250000","Manual","Left","Gas","Silver","ABS","Hatchback","24.11.2020","autoam 292","Mercedes-Benz C 180",NA,NA,NA,NA
"445","1993","Mercedes-Benz","E","230","230 E230 w124","3500","300000","Manual","Left","Gas","Black","","Sedan","23.11.2021","autoam 293","Mercedes-Benz E 230",NA,NA,NA,NA
"455","1995","BMW","328","</span>","2.8 mator 193dzi","3300","350000","Automatic","Left","Gasoline","Silver","","Sedan","28.02.2022","autoam 294","BMW 328 </span>",NA,NA,NA,NA
"465","1991","Mercedes-Benz","124","</span>","2.3","3400","260000","Manual","Left","Gas","Gray","ABS","Sedan","28.06.2022","autoam 295","Mercedes-Benz 124 </span>",NA,NA,NA,NA
"475","1996","Mercedes-Benz","E","200","200","3800","364000","Manual","Left","Gas","Օther color","<span style=""background-color:#c7c7c7""></span>Gray","Sedan","27.06.2022","autoam 296","Mercedes-Benz E 200",NA,NA,NA,NA
"485","1995","Mercedes-Benz","180","</span>","","֏1600","180000","Manual","Left","Gasoline","Black","","Sedan","23.04.2022","autoam 297","Mercedes-Benz 180 </span>",NA,NA,NA,NA
"495","1996","Mercedes-Benz","C","180","180 1.8","3300","250000","Manual","Left","Gasoline","Gray","ABS","Sedan","01.10.2021","autoam 298","Mercedes-Benz C 180",NA,NA,NA,NA
"505","1995","Mercedes-Benz","C","180","180","3000","200","Manual","Left","Gas","Silver","","Sedan","20.04.2021","autoam 299","Mercedes-Benz C 180",NA,NA,NA,NA
"515","1996","Mercedes-Benz","C","180","180 1.8","3300","340000","Manual","Left","Gas","Silver","ABS","Sedan","27.12.2020","autoam 300","Mercedes-Benz C 180",NA,NA,NA,NA
"220","1996","Mercedes-Benz","E","230","230 Classic 2.3","3300","280000","Manual","Left","Gas","Blue","ABS","Sedan","24.12.2020","autoam 301","Mercedes-Benz E 230",NA,NA,NA,NA
"320","1994","Mercedes-Benz","C","180","180","3300","250000","Automatic","Left","Gas","Silver","","Sedan","20.02.2022","autoam 302","Mercedes-Benz C 180",NA,NA,NA,NA
"420","2000","Volkswagen","Golf","</span>","","3200","230000","Manual","Left","Gas","Silver","2.0","Hatchback","02.02.2022","autoam 303","Volkswagen Golf </span>",NA,NA,NA,NA
"57","2000","Volkswagen","Golf","</span>","","3200","200000","Automatic","Left","Gas","Black","<span style=""background-color:#000000""></span>Black","Hatchback","27.11.2021","autoam 304","Volkswagen Golf </span>",NA,NA,NA,NA
"66","2000","Volkswagen","Golf","</span>","","3200","200000","Automatic","Left","Gas","Black","<span style=""background-color:#000000""></span>Black","Hatchback","21.12.2021","autoam 305","Volkswagen Golf </span>",NA,NA,NA,NA
"76","1995","Mercedes-Benz","180","</span>","","3200","250000","Manual","Left","Gasoline","White","ABS","Sedan","15.04.2021","autoam 306","Mercedes-Benz 180 </span>",NA,NA,NA,NA
"86","1993","Mercedes-Benz","C","180","180","3200","250000","Automatic","Left","Gas","Օther color","","Sedan","10.02.2022","autoam 307","Mercedes-Benz C 180",NA,NA,NA,NA
"96","2000","Volkswagen","Passat","</span>","","2900","310000","Manual","Left","Gas","Silver","ABS","Wagon","09.06.2021","autoam 308","Volkswagen Passat </span>",NA,NA,NA,NA
"106","1997","Mercedes-Benz","C","180","180 C 180","֏1500","200000","Manual","Left","Gas","Blue","RWD","Sedan","01.12.2020","autoam 309","Mercedes-Benz C 180",NA,NA,NA,NA
"116","1995","Mercedes-Benz","C","180","180","3400","350000","Manual","Left","Gasoline","Gray","","Sedan","23.06.2022","autoam 310","Mercedes-Benz C 180",NA,NA,NA,NA
"126","2000","Ford","Focus","</span>","01015","3500","150000","Automatic","Left","Gasoline","Silver","<span style=""background-color:#000000""></span>Black","Sedan","08.06.2022","autoam 311","Ford Focus </span>",NA,NA,NA,NA
"136","1997","BMW","318","</span>","","3100","20000","Manual","Left","Gasoline","Black","ABS","Sedan","02.12.2020","autoam 312","BMW 318 </span>",NA,NA,NA,NA
"146","1999","Volkswagen","Passat","</span>","B5","3300","252625","Manual","Left","Gasoline","Green","<span style=""background-color:#bababa""></span>Other","Sedan","31.05.2022","autoam 313","Volkswagen Passat </span>",NA,NA,NA,NA
"156","1997","BMW","525","</span>","","3000","158","Automatic","Left","Gasoline","Green","","Sedan","06.08.2021","autoam 314","BMW 525 </span>",NA,NA,NA,NA
"166","1998","Volkswagen","Bora","</span>","1.6","3000","300000","Manual","Left","Gas","Silver","ABS","Sedan","02.12.2021","autoam 315","Volkswagen Bora </span>",NA,NA,NA,NA
"176","1994","Honda","Civic","</span>","EG3","3000","240000","Manual","Left","Gasoline","Blue","<span style=""background-color:#c7c7c7""></span>Gray","Coupe","21.01.2022","autoam 316","Honda Civic </span>",NA,NA,NA,NA
"186","1997","Mercedes-Benz","E","200","200","3300","380000","Manual","Left","Gas","Silver","2.0","Sedan","07.06.2022","autoam 317","Mercedes-Benz E 200",NA,NA,NA,NA
"196","2000","Renault","Logan","</span>","","3000","280000","Manual","Left","Gas","Blue","","Sedan","15.01.2022","autoam 318","Renault Logan </span>",NA,NA,NA,NA
"206","1997","Mercedes-Benz","E","200","200","3000","300000","Automatic","Left","Gas","Golden","","Sedan","09.09.2020","autoam 319","Mercedes-Benz E 200",NA,NA,NA,NA
"2110","1999","Mercedes-Benz","A","190","190 1.9 spec","3000","230000","Automatic","Left","Gasoline","Blue","","Hatchback","18.11.2020","autoam 320","Mercedes-Benz A 190",NA,NA,NA,NA
"226","1998","BMW","528","</span>","","3000","20000","Automatic","Left","Gas","Blue","ABS","Sedan","11.05.2022","autoam 321","BMW 528 </span>",NA,NA,NA,NA
